Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Average price Detached houses,Average price Semi-detached houses,Average price Terraced houses,Average price Flats and maisonettes,Pivotable date
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-02,,quarterly,8915,,,,,01/02/1974
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-03,,quarterly,8915,,,,,01/03/1974
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-04,,quarterly,8936,,,,,01/04/1974
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-05,,quarterly,8936,,,,,01/05/1974
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-06,,quarterly,8936,,,,,01/06/1974
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-07,,quarterly,9017,,,,,01/07/1974
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-08,,quarterly,9017,,,,,01/08/1974
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-09,,quarterly,9017,,,,,01/09/1974
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-10,,quarterly,9139,,,,,01/10/1974
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-11,,quarterly,9139,,,,,01/11/1974
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1974-12,,quarterly,9139,,,,,01/12/1974
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-01,,quarterly,9179,,,,,01/01/1975
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-02,,quarterly,9179,,,,,01/02/1975
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-03,,quarterly,9179,,,,,01/03/1975
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-04,,quarterly,9423,,,,,01/04/1975
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-05,,quarterly,9423,,,,,01/05/1975
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-06,,quarterly,9423,,,,,01/06/1975
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-07,,quarterly,9707,,,,,01/07/1975
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-08,,quarterly,9707,,,,,01/08/1975
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-09,,quarterly,9707,,,,,01/09/1975
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-10,,quarterly,9809,,,,,01/10/1975
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-11,,quarterly,9809,,,,,01/11/1975
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1975-12,,quarterly,9809,,,,,01/12/1975
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-01,,quarterly,10012,,,,,01/01/1976
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-02,,quarterly,10012,,,,,01/02/1976
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-03,,quarterly,10012,,,,,01/03/1976
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-04,,quarterly,10276,,,,,01/04/1976
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-05,,quarterly,10276,,,,,01/05/1976
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-06,,quarterly,10276,,,,,01/06/1976
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-07,,quarterly,10520,,,,,01/07/1976
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-08,,quarterly,10520,,,,,01/08/1976
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-09,,quarterly,10520,,,,,01/09/1976
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-10,,quarterly,10682,,,,,01/10/1976
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-11,,quarterly,10682,,,,,01/11/1976
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1976-12,,quarterly,10682,,,,,01/12/1976
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-01,,quarterly,10763,,,,,01/01/1977
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-02,,quarterly,10763,,,,,01/02/1977
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-03,,quarterly,10763,,,,,01/03/1977
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-04,,quarterly,10926,,,,,01/04/1977
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-05,,quarterly,10926,,,,,01/05/1977
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-06,,quarterly,10926,,,,,01/06/1977
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-07,,quarterly,11251,,,,,01/07/1977
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-08,,quarterly,11251,,,,,01/08/1977
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-09,,quarterly,11251,,,,,01/09/1977
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-10,,quarterly,11596,,,,,01/10/1977
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-11,,quarterly,11596,,,,,01/11/1977
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1977-12,,quarterly,11596,,,,,01/12/1977
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-01,,quarterly,11860,,,,,01/01/1978
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-02,,quarterly,11860,,,,,01/02/1978
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-03,,quarterly,11860,,,,,01/03/1978
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-04,,quarterly,12429,,,,,01/04/1978
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-05,,quarterly,12429,,,,,01/05/1978
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-06,,quarterly,12429,,,,,01/06/1978
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-07,,quarterly,13302,,,,,01/07/1978
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-08,,quarterly,13302,,,,,01/08/1978
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-09,,quarterly,13302,,,,,01/09/1978
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-10,,quarterly,14236,,,,,01/10/1978
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-11,,quarterly,14236,,,,,01/11/1978
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1978-12,,quarterly,14236,,,,,01/12/1978
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-01,,quarterly,14988,,,,,01/01/1979
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-02,,quarterly,14988,,,,,01/02/1979
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-03,,quarterly,14988,,,,,01/03/1979
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-04,,quarterly,16145,,,,,01/04/1979
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-05,,quarterly,16145,,,,,01/05/1979
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1979-06,,quarterly,16145,,,,,01/06/1979
